Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL4539943,,0,505.57,1,3.6,None,O=C(c1ccc(OCCC2CCOCC2)cc1)[C@@H]1CC[C@H](Cn2nnc3ccccc3c2=O)[C@H]1C(=O)O,Inhibition,'=',6.29,%,,,Not Active,UO_0000187,,,,,FALSE,CHEMBL4507829,GPCRScan assay: inhibition of Alpha1B,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,Parental cells: stable HEK | PMID: 7780636/1687370 | Protein length: full-length | Radioligand conc. used [nM]: 0.3 â__ 1.0 | Radioligand Kd None 0.58 nM | Radioligand name: [3H]-Prazosin | Radioligand pKd None 9.23 None | Radioligand pKd _± SEM None 0.29 None | Reference ligand: Prazosin | Reference ligand Ki None 0.88 nM | Reference ligand pKi None 9.05 None | Reference ligand pKi  _± SEM None 0.03 None,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4507264,54,Donated Chemical Probes - SGC Frankfurt,,,None,Compound concentration None 10.0 uM
CHEMBL4163587,,0,459.51,0,2.75,10,COc1cc2nc(N3CCC[C@H](NC4=CC(=O)c5ccccc5C4=O)C3)nc(N)c2cc1OC,Ki,'=',0.5248,nM,9.28,,,UO_0000065,20.2,0.37,6.53,7.75,FALSE,CHEMBL4139219,Displacement of [3H]prazosin from human alpha1B adrenoceptor expressed in CHO cell membranes after 30 mins,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4138091,1,Scientific Literature,Eur J Med Chem,2017,None,
CHEMBL234679,,0,482.65,0,3.76,6cis,CC(C)Oc1ccccc1N1CCN([C@H]2CC[C@@H](NS(=O)(=O)c3ccccc3C#N)CC2)CC1,Ki,'=',217,nM,6.66,,,UO_0000065,13.81,0.27,2.9,7.78,FALSE,CHEMBL894517,Binding affinity to human cloned adrenergic alpha-1B receptor,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1148021,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,None,
CHEMBL15245,YOHIMBINE,4,354.45,0,2.65,Yohimbine,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21,Ki,,,,,,Not Determined,,,,,,FALSE,CHEMBL4380086,Displacement of [3H]prazosin from human recombinant adrenergic alpha-1B receptor expressed in CHO cell membranes incubated for 60 mins,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4376854,1,Scientific Literature,J Med Chem,2020,CHEMBL3308072,
CHEMBL293980,,0,424.37,0,3.82,70,O=C1CC2(CCCC2)CC(=O)N1CCN1CCN(c2ccc(Cl)cc2Cl)CC1,Ki,,,,,,Not Determined,,,,,,FALSE,CHEMBL649208,Binding affinity constant against alpha-1B adrenergic receptor of guinea pig spleen.,B,BAO_0000221,tissue-based format,Cavia porcellus,CHEMBL3559722,Spleen,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1149137,1,Scientific Literature,J. Med. Chem.,2004,None,
CHEMBL448620,,0,608.74,2,5.59,SNAP-5089,COC(=O)C1=C(C)NC(C)=C(C(=O)NCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1ccc([N+](=O)[O-])cc1,Ki,'=',220,nM,6.66,,,UO_0000065,10.94,0.2,1.07,5.85,FALSE,CHEMBL643868,Binding affinity against human Alpha-1b adrenergic receptor,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1132000,1,Scientific Literature,Bioorg. Med. Chem. Lett.,1999,None,
CHEMBL2432063,,0,271.45,0,3.64,14k,CN(CC1CCCCC1)[C@H]1C2C3CC4C5C3CC2C5C41,Ki,'=',9.4,nM,8.03,,,UO_0000065,29.57,0.55,4.39,247.74,FALSE,CHEMBL2432461,Inhibition of adrenergic alpha1B receptor (unknown origin) by PDSP assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2429832,1,Scientific Literature,Bioorg. Med. Chem.,2013,None,
CHEMBL228553,,0,562.6,2,5.7,15-trans,O=S(=O)(N[C@H]1CC[C@H](N2CCC(c3ccccc3OCC(F)(F)F)CC2)CC1)c1cccc(OC(F)F)c1,Ki,'=',355,nM,6.45,,,UO_0000065,11.46,0.23,0.75,9.5,FALSE,CHEMBL889236,Binding affinity to human cloned adrenergic alpha-1b receptor,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1145372,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,None,
CHEMBL4447975,,0,249.31,0,1.93,(+/-)-4j,COc1cc(OC)c2c(c1)OC[C@@]1(C)NCC[C@@H]21,Inhibition,'<=',50,%,,,,UO_0000187,,,,,FALSE,CHEMBL4308660,Displacement of [3H]-Prazosin from human recombinant adrenergic Alpha1B receptor expressed in HEKT cells at 10 uM after 90 mins by microbeta scintillation counting method relative to control,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4304834,1,Scientific Literature,ACS Med Chem Lett,2019,None,
CHEMBL56438,,0,424.37,0,3.82,69,O=C1CC2(CCCC2)CC(=O)N1CCN1CCN(c2cc(Cl)ccc2Cl)CC1,Activity,'=',0.1,,,,,,,,,,FALSE,CHEMBL649206,Fraction involved in salt bridge interactions with Asp3:11 part of the alpha-1B adrenergic receptor,B,BAO_0000357,single protein format,Cavia porcellus,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1149137,1,Scientific Literature,J. Med. Chem.,2004,None,
