Compound ID,Uniprot ID,Compound Name,Standard inchi key,Max Phase,Target Pref Name,Gene Names,Target Class,Wild type or mutant,Mutation information,PubMed ID,End Point Standard Type,End Point Standard Relation,End Point Standard Value,End Point Standard Units,Endpoint Mode of Action,Assay Format,Assay Type,Assay Sub Type,Inhibitor Type,Detection Technology,Compound concentration value,Compound concentration value units,Substrate type,Substrate Type Standard Relation,Substrate Type Standard Value,Substrate Type Standard Units,Assay cell line,Assay Description,Activity Comments,Title,Journal,Year,Volume,Issue,Authors,Annotation Comments,Assay ID,DTC Tid,DTC Activity ID,DTC Molregno,Record ID,DTC Document ID
CHEMBL100045,P35368,,YLUGVAMRGOIDDQ-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,10522703,KI,=,192,NM,,,,,,,,,,,,,,Binding affinity against human Alpha-1b adrenergic receptor,,Design and synthesis of novel dihydropyridine alpha-1a antagonists.,Bioorg. Med. Chem. Lett.,1999,9,19,"Marzabadi MR, Hong X, Nagarathnam D, Miao SW, Chiu G, Wong WC, Wetzel JM, Fang J, Forray C, Chen TB, O'Malley SS, Chang RS, Gluchowski C",,33012,DTCT0023207,1227191,DTCC00263329,258299,3366
CHEMBL100052,P35368,,LXIPAAJKLDMQAA-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,10021947,KI,=,49,NM,,cell_based,,,,,,,,,,,LM,Displacement of [125I]HEAT from human Alpha-1B adrenergic receptor expressed in LM cells,,"4-Oxospiro[benzopyran-2,4'-piperidines] as selective alpha 1a-adrenergic receptor antagonists.",Bioorg. Med. Chem. Lett.,1999,9,2,"Nerenberg JB, Erb JM, Bergman JM, O'Malley S, Chang RS, Scott AL, Broten TP, Bock MG",,34325,DTCT0023207,506186,DTCC00267616,97011,3405
CHEMBL100198,P35368,,IPEWCJVARRJXDP-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,11597419,EC50,=,79.43,NM,,,,,,,,,,,,,,Potency against cloned human alpha 1B adrenoceptor expressed in rat-1 fibroblasts.,,2-(Anilinomethyl)imidazolines as alpha(1)-adrenoceptor agonists: the identification of alpha(1A) subtype selective 2'-carboxylic acid esters and amides.,Bioorg. Med. Chem. Lett.,2001,11,21,"Bishop MJ, Berman J, Bigham EC, Garrison DT, Gobel MJ, Hodson SJ, Irving PE, Liacos JA, Minick DJ, Navas F, Saussy DL, Speake JD",,30099,DTCT0023207,642295,DTCC00264117,562389,4573
CHEMBL100198,P35368,,IPEWCJVARRJXDP-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,11597419,MAX,=,93,%,,,,,,,,,,,,,,Efficacy against alpha 1B-adrenoceptor in human expressed as phenylephrine response at the dose of 40 uM.,,2-(Anilinomethyl)imidazolines as alpha(1)-adrenoceptor agonists: the identification of alpha(1A) subtype selective 2'-carboxylic acid esters and amides.,Bioorg. Med. Chem. Lett.,2001,11,21,"Bishop MJ, Berman J, Bigham EC, Garrison DT, Gobel MJ, Hodson SJ, Irving PE, Liacos JA, Minick DJ, Navas F, Saussy DL, Speake JD",,30098,DTCT0023207,642296,DTCC00264117,562389,4573
CHEMBL100383,P35368,,VUZRSWNQYOEPCY-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,11597419,EC50,<,5011.87,NM,,,,,,,,,,,,,,Potency against cloned human alpha 1B adrenoceptor expressed in rat-1 fibroblasts.,,2-(Anilinomethyl)imidazolines as alpha(1)-adrenoceptor agonists: the identification of alpha(1A) subtype selective 2'-carboxylic acid esters and amides.,Bioorg. Med. Chem. Lett.,2001,11,21,"Bishop MJ, Berman J, Bigham EC, Garrison DT, Gobel MJ, Hodson SJ, Irving PE, Liacos JA, Minick DJ, Navas F, Saussy DL, Speake JD",,30099,DTCT0023207,633387,DTCC00264114,205141,4573
CHEMBL100434,P35368,,FXCQFMQQYXADPE-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,12825930,KI,=,9549.93,NM,,,,,,,,,,,,,,In vitro binding affinity at human Alpha-1B adrenergic receptor.,,"New pyrimido[5,4-b]indoles as ligands for alpha(1)-adrenoceptor subtypes.",J. Med. Chem.,2003,46,14,"Romeo G, Materia L, Manetti F, Cagnotto A, Mennini T, Nicoletti F, Botta M, Russo F, Minneman KP",,34606,DTCT0023207,1571179,DTCC00264434,108534,17389
CHEMBL100481,P35368,,SKNPJRMJANYTMK-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,12825930,KI,=,4073.8,NM,,,,,,,,,,,,,,In vitro binding affinity at human Alpha-1B adrenergic receptor.,,"New pyrimido[5,4-b]indoles as ligands for alpha(1)-adrenoceptor subtypes.",J. Med. Chem.,2003,46,14,"Romeo G, Materia L, Manetti F, Cagnotto A, Mennini T, Nicoletti F, Botta M, Russo F, Minneman KP",,34606,DTCT0023207,1563840,DTCC00264809,173186,17389
CHEMBL10085,P35368,MAZAPERTINE,ZKZFPRUSWCYSGT-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,18378462,KI,=,47,NM,,,,,,,,,,,,,,Binding affinity to adrenergic Alpha-1B receptor,,Recent advances in selective alpha1-adrenoreceptor antagonists as antihypertensive agents.,Bioorg. Med. Chem.,2008,16,9,"Jain KS, Bariwal JB, Kathiravan MK, Phoujdar MS, Sahne RS, Chauhan BS, Shah AK, Yadav MR",,530297,DTCT0023207,2394210,DTCC00137699,1017761,29385
CHEMBL100878,P35368,,KFOQZPZUMXHKTJ-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,10021947,KI,=,53,NM,,cell_based,,,,,,,,,,,LM,Displacement of [125I]HEAT from human Alpha-1B adrenergic receptor expressed in LM cells,,"4-Oxospiro[benzopyran-2,4'-piperidines] as selective alpha 1a-adrenergic receptor antagonists.",Bioorg. Med. Chem. Lett.,1999,9,2,"Nerenberg JB, Erb JM, Bergman JM, O'Malley S, Chang RS, Scott AL, Broten TP, Bock MG",,34325,DTCT0023207,503720,DTCC00267390,938517,3405
CHEMBL101322,P35368,,XKYLWRMBNQDHDM-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,10021947,KI,>,2000,NM,,cell_based,,,,,,,,,,,LM,Displacement of [125I]HEAT from human Alpha-1B adrenergic receptor expressed in LM cells,,"4-Oxospiro[benzopyran-2,4'-piperidines] as selective alpha 1a-adrenergic receptor antagonists.",Bioorg. Med. Chem. Lett.,1999,9,2,"Nerenberg JB, Erb JM, Bergman JM, O'Malley S, Chang RS, Scott AL, Broten TP, Bock MG",,34325,DTCT0023207,485443,DTCC00267580,550831,3405
