Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
RSRUDTPYRBLHEO-UHFFFAOYNA-N,123981,147,A,6.31426,pubchem,37213,9606,ADRA1B,93,ClC=1C=2CCN(CCC2C=CC1)C
QSQQQURBVYWZKJ-UHFFFAOYNA-N,CHEMBL30713,147,A,5,chembl20,964972,9606,ADRA1B,93,C1(=CNC2=C1C=CC=C2)CC(N)C
VFRCNXKYZVQYLX-UHFFFAOYNA-N,CHEMBL1076,24173,N,4.07,chembl20,911062,10116,ADRA1B,93,C1(=C(C=CC(=C1)OC)OC)C(O)CN
FOTRTWXNJQSQJS-LURJTMIENA-N,CHEMBL295072,147,A,5.4,chembl20,603939,9606,ADRA1B,93,C1(=C(C(O)=CC=C1[C@@H](O)CN)O)F
BVXHLVHSYQUGBZ-UHFFFAOYNA-N,44574986,147,A,5.75203,pubchem,351362,9606,ADRA1B,93,FC=1C(C2CN3C(=NC=C3)C2)=CC=CC1
HHQOMPROOBMQGY-XWKXFZRBNA-N,CHEMBL118055,147,A,6.05,chembl20,32514,9606,ADRA1B,93,N1C=NC(=C1)CNC=2C(SC)=CC=CC2
GJSURZIOUXUGAL-ROUYVKNBNA-N,CHEMBL134,24173,A,5.99,chembl20,774697,10116,ADRA1B,93,C1(NC2=C(Cl)C=CC=C2Cl)=NCCN1
SBUQBFTXTZSRMH-QMMMGPOBNA-N,CHEMBL40317,147,N,3.87,chembl20,603939,9606,ADRA1B,93,C1=C(C(O)=CC(=C1[C@@H](O)CN)F)O
VDOBHSKPHKGLJE-UHFFFAOYNA-N,CHEMBL117248,147,A,6.66,chembl20,32514,9606,ADRA1B,93,C1(NCCN1)C=NC=2C(SC)=CC=CC2
SPZWSHWMHHYVPO-UHFFFAOYNA-N,CHEMBL449284,147,A,5.96,chembl20,499391,9606,ADRA1B,93,C=1C(=C(C2CC=3N(C2)C=CN3)C=CC1)Cl
UCTWMZQNUQWSLP-VIFPVBQENA-N,CHEMBL679,24173,A,6.01,chembl20,774697,10116,ADRA1B,93,OC1=C(O)C=CC(=C1)[C@@H](O)CNC
BAAUEDJUTZLMAN-UHFFFAOYNA-N,10946567,147,A,7.82391,pubchem,37213,9606,ADRA1B,93,ClC1=C2C=3C(CN(CC2)C)=C(SC3C=C1)CC
ASXGJMSKWNBENU-UHFFFAOYNA-N,CHEMBL56,147,A,6,chembl20,936572,9606,ADRA1B,93,C1(N(CCC)CCC)CCC=2C(C1)=C(C=CC2)O
BLXFHJKHZWXNDP-YHMJCDSINA-N,17804479,147,A,6.10182,pubchem,331625,9606,ADRA1B,93,N1=C(NC=C1)C2CCCC=3C2=CC=CC3
BMHWWKPJPARTBN-UHFFFAOYNA-N,73352416,147,A,8.02687,pubchem,772797,9606,ADRA1B,93,N(C1C2C3C4C2CC5C4CC3C51)(CC6CCCCC6)C
DUZKXKAAUHDBQA-UHFFFAOYNA-N,73347826,147,A,5.46319,pubchem,772797,9606,ADRA1B,93,N(C1C2C3C4C2CC5C4CC3C51)CCC6=NC=CC=C6
HVBAGGJDXDXSAY-UHFFFAOYNA-N,CHEMBL1084132,147,A,6.6,chembl20,614258,9606,ADRA1B,93,C1N(CN(CC2CCCCN2)C1)C=3C=CC=CC3
GLWLPSFWYSQAIN-XIMAAISONA-N,CHEMBL1241328,147,A,6.12,chembl20,659314,9606,ADRA1B,93,N1(C(=N)C=2N=C(N(C2NC1=O)C)O)C
NYGANYRUZQPPGP-UHFFFAOYNA-N,CHEMBL123138,147,A,6.11,chembl20,34343,9606,ADRA1B,93,C12=C(OC3=C1C(CCN(C2)C)=C(C=C3)Cl)Br
QCGHKMBDRDISMS-UHFFFAOYNA-N,CHEMBL155326,147,A,6.35,chembl20,34482,9606,ADRA1B,93,C1(C2=C(N=CC3NCCN3)C=CC=C2)=NC=CO1
TWAIZWBOGUCFRZ-UHFFFAOYNA-N,CHEMBL155327,147,A,6.88,chembl20,34482,9606,ADRA1B,93,C=1(C2=C(N=CC3NCCN3)C=CC=C2)ON=CC1
WDZVGELJXXEGPV-AWUAWOGUNA-N,CHEMBL420,24173,A,6.12,chembl20,774697,10116,ADRA1B,93,ClC=1C(=C(Cl)C=CC1)/C=N/N=C(N)N
