,Unnamed: 0,compound_id,base_rdkit_smiles,relation,pXC50,active,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate,VALUE_NUM_mean
0,0,CHEMBL142310,c1ccc(-c2ccncn2)c(OCC2=NCCN2)c1,>,4.0,0,,0.0,0,4.0
1,1,CHEMBL1796048,COc1ccccc1N1CCN(CCN2C(=O)CC3(CCc4ccccc43)CC2=O)CC1,,5.3,0,,0.0,0,5.3
2,2,CHEMBL1403281,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3Cc4c(cc5c[nH]c6c5c4C=CC6)N(C)C3)(C(C)C)C(=O)N12,,8.1,1,,0.0,0,8.1
3,3,CHEMBL516088,COc1c(OCCF)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,,6.26,0,,0.0,0,6.26
4,4,CHEMBL1258345,COc1ccccc1N1CCN(CC(O)CN2C(=O)NC(=O)C2(c2ccccc2)c2ccccc2)CC1,,7.27,1,,0.0,0,7.27
5,5,CHEMBL234679,CC(C)Oc1ccccc1N1CCN([C@H]2CC[C@@H](NS(=O)(=O)c3ccccc3C#N)CC2)CC1,,6.66,0,,0.0,0,6.66
6,6,53327992,COc1ccccc1N1CCN(CCCCN2C(=O)CC3(CCc4ccccc43)CC2=O)CC1,,7.7000600000000015,1,,0.0,0,7.7000600000000015
7,7,CHEMBL234609,Cc1ccc(S(=O)(=O)N[C@H]2CC[C@H](N3CCN(c4ccccc4OC(C)C)CC3)CC2)cc1Cl,,6.71,0,,0.0,0,6.71
8,8,CHEMBL57859,COc1ccccc1N1CCN(CCN2CCC3(CCCC3)CC2=O)CC1,,7.26,1,,0.0,0,7.26
9,9,CHEMBL233623,COc1ccc(C)cc1S(=O)(=O)N[C@H]1CC[C@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,,6.66,0,,0.0,0,6.66
10,10,11505007,COc1ccc(S(=O)(=O)NC2CCC(N3CCN(c4ccccc4OCC(F)(F)F)CC3)CC2)cc1OC,,7.4089399999999985,1,,0.0,0,7.4089399999999985
11,11,CHEMBL12501,COc1ccccc1N1CCN(CCCNC(=O)CN2CCCCC2=O)CC1,,5.0,0,,0.0,0,5.0
12,12,CHEMBL1078750,c1ccc(-c2ccc(OCCNCC3COC(c4ccccc4)(c4ccccc4)O3)cc2)cc1,,6.0,0,,0.0,0,6.0
13,13,46934791,COc1ccccc1N1CCN(C[C@H]2CO[C@@](CN3C(=O)CCCC3=O)(c3ccccc3)O2)CC1,,7.330030000000002,1,,0.0,0,7.330030000000002
14,14,CHEMBL507755,COc1cccc(C2Cc3nccn3C2)c1,<,5.0,0,,0.0,0,5.0
15,15,CHEMBL3582271,COc1cc2nc(N3CCN(C(=S)Nc4ccc(-c5c6ccc(=O)cc-6oc6cc(O)ccc56)c(C(=O)O)c4)CC3)nc(N)c2cc1OC,,7.787812395596043,1,,0.0,0,7.787812395596043
16,16,9800639,COc1ccccc1N1CCN(C[C@@H]2CN=C3c4ccccc4NC(=O)N32)CC1,,6.9100899999999985,0,,0.0,0,6.9100899999999985
17,17,CHEMBL3400596,O=C1CCCN1CCCCN1CCN(c2ccc(F)cc2F)CC1,,7.328827157284918,1,,0.0,0,7.328827157284918
18,18,CHEMBL369154,COC(=O)c1ccc2c(=O)n(CCN3C[C@@H]4CCc5c(OC)cccc5[C@@H]4C3)c(=O)[nH]c2c1,,8.79,1,,0.0,0,8.79
19,19,CHEMBL466916,COc1cccc(C2CCc3nc[nH]c3C2)c1,<,5.0,0,,0.0,0,5.0
20,20,46934639,COc1ccccc1N1CCN(C[C@H]2CO[C@@](CN3CCCCC3=O)(c3ccccc3)O2)CC1,,6.89002,0,,0.0,0,6.89002
21,21,CHEMBL1254914,CCOc1ccccc1OCCNCCOc1ccccc1OCc1ccccc1,,7.9,1,,0.0,0,7.9
